ID,type,address,city,postcode,lat,lon,rentNet,rentGross,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,personId,additionalCosts,additionalCosts/m2,canton
4000906965,"HOUSE, SINGLE_HOUSE",Alterstrasse 4,Filzbach,8757,47.120461781979,9.131932311604,1920.0,1980.0,82.0,,,,24.15,3-Zimmer Einfamilienhaus inkl. Garage ? NEUBAU,3.0,,2024.0,True,,,,,,,,,,,,,,,,,,,,,,,,,2268787,60.0,0.7317073170731707,GL
4000997183,"APARTMENT, STUDIO",Hauptstr. 30 (Nord),Döttingen,5312,47.570971781977,8.256332311603,750.0,915.0,45.0,True,,,20.33,Zentrale Studio-Wohnung!,1.0,-1.0,2009.0,True,,True,,,,,,,,,,,,True,,,,True,True,800.0,700.0,700.0,,170.0,679,165.0,3.6666666666666665,AG
4001099145,"APARTMENT, FLAT",Falmenstrasse 2d,Uster,8610,47.352411781975,8.718372311603,1970.0,2270.0,88.0,True,,,25.8,Schöne Wohnung an sehr zentraler Lage,3.5,2.0,2012.0,True,,True,True,,,,,,,,,,,True,,,,,True,,,,,,679,300.0,3.409090909090909,ZH
4001028409,"APARTMENT, DUPLEX",Am Mattenhof 2b,Kriens,6010,47.028211781976,8.301092311606,2150.0,2490.0,117.0,True,,,21.28,Wohnen im MATTEO - Moderne Maisonette-Wohnung mit viel Platz!,3.5,4.0,2018.0,True,,,,,,,,,,,,,,True,,,,,True,,,,,,679,340.0,2.905982905982906,NW
4000888461,APARTMENT,Dorfstrasse 31,Benzenschwil,5636,47.247751781976,8.365612311601,2015.0,2300.0,94.0,False,False,,24.47,ERSTVERMIETUNG: Lebensqualität für die ganze Familie!,4.5,,2024.0,True,,True,False,,False,,False,False,,,,,True,True,True,True,,True,True,,,,,,1743533,285.0,3.0319148936170213,AG
4001110210,"APARTMENT, FLAT",Preyenstr. 21,Wetzikon ZH,8623,47.329231781971,8.820222311602,1903.0,2133.0,86.0,True,,,24.8,Schöne Familienwohnung mit Sitzplatz,4.5,0.0,1975.0,True,2019.0,True,,,,,,,True,,,,,True,,True,,,True,,,,,,679,230.0,2.6744186046511627,ZH
4001075108,SINGLE_HOUSE,Beggingerstrasse 102,Schleitheim,8226,47.756621781978,8.496052311601,2700.0,2800.0,,False,False,False,,Neubau/Erstbezug Reihen-Einfamilienhaus 6.5-Zimmer,6.5,0.0,,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,561235,100.0,,SH
4000255237,"APARTMENT, LOFT",alte Spinnerei 16,Murg,8877,47.112021781971,9.217332311603,2140.0,2500.0,155.0,,,,16.13,grosszügiges Loft mit Terrasse auf dem Dach und Blick auf den Walensee,2.5,5.0,,True,,True,True,,,,,,,,,,True,,,True,,,,3000.0,300.0,200.0,2500.0,200.0,2165333,360.0,2.3225806451612905,SG
4000871597,"APARTMENT, FLAT","Allmannstrasse 55, 8052 Zürich",Zürich,8052,47.423281781972,8.542262311602,3200.0,3405.0,88.0,,,,38.69,Attraktive Attikawohnung - Neubauprojekt «Allmann55»,3.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,2229584,205.0,2.3295454545454546,ZH
4001075539,"APARTMENT, FLAT",Unterer Rolliring 20,Hägendorf,4614,47.333671781978,7.837252311601,2340.0,2615.0,122.0,True,,,21.43,Erstvermietung 4 1/2 Zimmer im Erdgeschoss an sonniger Lage,4.5,0.0,2024.0,True,,True,True,,True,,,,,,,,True,True,,True,,True,True,,,,,,1684494,275.0,2.2540983606557377,SO
4000997583,APARTMENT,Winzerhalde 109,Zürich,8049,47.403501781976,8.482902311606,2365.0,2535.0,,True,False,False,,Wohnen direkt an der Limmat!,2.5,3.0,2016.0,True,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,,,,,,381085,170.0,,ZH
3003501977,"APARTMENT, FLAT",Hauptstr. 2,Biberist,4562,47.181611781971,7.557832311609,1420.0,1590.0,72.0,True,,,22.08,ERSTVERMIETUNG - IM HERZEN VON BIBERIST - ST. URS,2.5,3.0,,True,,,True,,True,,,,,,,,True,True,,True,,True,True,,,,,,232349,170.0,2.361111111111111,SO
4001133144,"APARTMENT, DUPLEX",Untere Kräzern 2b,St. Gallen,9015,47.406931781974,9.320232311606,1870.0,2130.0,125.0,True,,,17.04,Moderne Maisonette-Wohnung am Stadtrand,4.5,0.0,2010.0,True,,True,,,,,,,,,,,True,True,,,,,True,,,500.0,,30.0,679,260.0,2.08,SG
4001098917,"APARTMENT, FLAT",Holderstrasse 12,Basel,4057,47.576141781974,7.589642311605,1050.0,1210.0,38.0,True,,,31.84,Hochwertig sanierte Wohnung nähe Wiesenplatz,1.5,2.0,,True,2021.0,True,True,,False,,False,False,,,,,True,True,,True,,True,True,,,,,,577788,160.0,4.2105263157894735,BS
4001132630,"APARTMENT, FLAT",Avenue Veillon 3,Aigle,1860,46.317161781976,6.973412311604,1450.0,1590.0,60.0,,,,26.5,NOUVELLE CONSTRUCTION - Logement neuf de 2.5 pièces au rez-de-chaussée,2.5,0.0,2024.0,True,,,True,,True,,,,,,,,True,,,True,,True,,,,,,,1743456,140.0,2.3333333333333335,VD
4001122447,"APARTMENT, FLAT",Wiggerweg 10,Strengelbach,4802,47.282801781974,7.934752311601,1795.0,2095.0,112.0,True,,,18.71,Ihr neues Zuhause!,4.5,0.0,2015.0,True,,True,,,,,,,,,,,,True,,,,True,True,800.0,240.0,600.0,,240.0,679,300.0,2.6785714285714284,AG
4001010764,"APARTMENT, FLAT","Rorschacherstrasse 120, 9000 St. Gallen",St. Gallen,9000,47.424561781974,9.374892311604,1850.0,2100.0,103.0,,,,20.39,3.5 Zimmerwohnung in St. Gallen,3.5,1.0,,True,,,,,,,,,,,,,True,,,,,True,True,,,,,,5011662,250.0,2.4271844660194173,SG
4001146455,"APARTMENT, FLAT",Alte Bernstrasse 43,Lohn-Ammannsegg,4573,47.170701781971,7.530602311605,1600.0,1760.0,83.0,,,,21.2,Moderne Wohnung an schöner Lage,3.5,1.0,2019.0,True,,True,True,,True,,,,,,,,True,,,True,,True,True,,,,,,24000000854952,160.0,1.927710843373494,SO
3001180961,"APARTMENT, FLAT",Bernstrasse Ost 52,Suhr,5034,47.372881781978,8.082132311602,990.0,1140.0,26.0,,,,43.85,Möblierte 1-Zimmer-Wohnung im Zentrum von Suhr,1.0,2.0,2017.0,True,,True,,,True,,,,,,,,,True,,,,True,,,,,3000.0,100.0,1684494,150.0,5.769230769230769,AG
4000996796,"APARTMENT, FLAT",Mülhauserstr. 146,Basel,4056,47.566271781971,7.575232311601,1475.0,1637.0,60.0,,,,27.28,Stilechte Altbauwohnung 1936 im St. Johann,2.0,1.0,1936.0,True,,,,,,True,,,,,,,True,True,,True,,,,,,,,5.0,416726,162.0,2.7,BS
4000931798,"APARTMENT, FLAT",Avenue des Collèges 7,Pully,1009,46.510771781974,6.657352311606,4890.0,5240.0,110.0,,,,47.64,NEUF : Vue sur le lac au centre de Pully,4.5,2.0,2023.0,True,,,,,,,,,,,,,True,,,True,,,,,,,,,897230,350.0,3.1818181818181817,VD
3003500636,"APARTMENT, FLAT",Via Ligornetto 19,Stabio,6854,45.857071781971,8.941482311601,1200.0,1300.0,57.0,,,,22.81,Affittasi ultimi appartamenti 2.5 locali,2.5,,2023.0,True,,True,True,,True,,,,,,,,True,,,True,,True,True,,,,,,240000001207501,100.0,1.7543859649122806,TI
4001100927,"APARTMENT, FLAT",Sternenstr. 2,Romanshorn,8590,47.566161781977,9.378192311604,1510.0,1740.0,86.0,,,,20.23,Wohnen mit Bahnanschluss - am See,3.5,1.0,2017.0,True,,True,,,True,,,,,True,,,True,True,,True,True,True,True,600.0,600.0,300.0,,50.0,679,230.0,2.6744186046511627,TG
4001075866,"APARTMENT, FLAT",Avenue de Lucens 13,Moudon,1510,46.672451781974,6.804292311601,2190.0,2485.0,93.0,,,,26.72,NEUF : Appartement de 4.5p au coeur de Moudon - UN MOIS DE PARKING OFFERT,4.5,1.0,2024.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,897230,295.0,3.172043010752688,VD
4000475311,"HOUSE, ROW_HOUSE",Derrière-chez-Brun,Domdidier,1564,46.865071781971,7.007092311606,2300.0,2470.0,102.0,,,,24.22,Maison contiguë à Domdidier,4.5,,2024.0,True,,,True,,,,,,,,,,True,,,,,,True,,,,,,240000001259619,170.0,1.6666666666666667,VD
4000906608,"APARTMENT, FLAT",Steinweg 20,Lyss,3250,47.078191781975,7.303992311602,1600.0,1845.0,93.0,True,,,19.84,Hier fühlen Sie sich wohl - Leben im Lyssbachpark,3.5,2.0,2011.0,True,,True,,True,True,,,,,,,,True,True,,,,True,True,500.0,500.0,500.0,,100.0,679,245.0,2.6344086021505375,BE
4001133240,"HOUSE, BIFAMILIAR_HOUSE",Willikonerstrasse 4,Oetwil am See,8618,47.270211781975,8.720422311602,3025.0,3025.0,113.0,,,,26.77,Ein Haus der besonderen Art,5.5,,2015.0,True,,True,True,,,,,True,,,,,True,True,,True,,,,50.0,50.0,,,20.0,5023595,0.0,0.0,ZH
4000672065,"APARTMENT, FLAT",Höslistrasse 8,Bubikon,8608,47.273771781971,8.823462311609,2221.0,2461.0,,True,,,,3.5 Zimmerwohnung  - Bachtelblick Bubikon,3.5,1.0,2022.0,True,,True,,,True,,,,,,,,True,True,,True,,True,True,,,,,,255561,240.0,,ZH
4001123028,"APARTMENT, FLAT",Kalkbreitestrasse 41,Zürich,8003,47.373331781975,8.519422311607,3480.0,3710.0,60.0,,,,61.83,Spacious modern furnished 1-bedroom apartment with balcony and weekly cleaning service for rent,2.5,4.0,,True,,,True,,,,,,,,,,True,True,,True,,True,,,,,,50.0,448685,230.0,3.8333333333333335,ZH
4001133464,"APARTMENT, FLAT",Dammstrasse / Fabrikgasse,Horgen,8810,47.259671781979,8.587972311602,1770.0,1950.0,55.0,,,,35.45,"Grosse, hohe Neubau-Loft-Studios in denkmalgeschützter Fabrik",1.5,5.0,2024.0,True,,,,,,,,,,,,,,,,,,True,,,,,,,276065,180.0,3.272727272727273,ZH
4000441910,"APARTMENT, FLAT",Mühlegasse 12,Rohrbach,4938,47.136031781976,7.811652311609,1400.0,1650.0,115.0,,,,14.35,Moderne 4.5 Zimmerwohnung,4.5,1.0,2019.0,True,,,True,,True,,,,,,,,True,,,,,True,,,,,,,2130684,250.0,2.1739130434782608,BE
4001111899,APARTMENT,Burgstrasse 8,Herzogenbuchsee,3360,47.192881781977,7.710272311601,1300.0,1450.0,,False,False,,,Neu erstellte 2.5-Zimmer-Dachwohnung in herrlicher Villa in Herzogenbuchsee,2.5,2.0,2024.0,True,2024.0,True,True,,False,,False,False,,,,,True,False,False,True,,False,,,,,,,85123,150.0,,BE
4001010785,"APARTMENT, FLAT","Grossackerstrasse 1, 9000 St. Gallen",St. Gallen,9000,47.424561781974,9.374892311604,1620.0,1810.0,78.0,,,True,23.21,2.5 Zimmerwohnung in St. Gallen,2.5,6.0,,True,,,,,,,,,,,,,True,,,True,,True,,,,,,,5011662,190.0,2.4358974358974357,SG
4001099156,"APARTMENT, FLAT",Käferholzstrasse 52,Zürich,8057,47.402311781977,8.531102311608,3210.0,3500.0,100.0,,,,35.0,Modernes Wohnen im Guggachpark,3.5,4.0,,True,,True,,,,,,,,,,,,,,,,,,,,,,200.0,679,290.0,2.9,ZH
4000705837,APARTMENT,Hauptstrasse 115,St. Margrethen SG,9430,47.451571781978,9.634982311609,450.0,500.0,,True,False,,,Hobbyraum,1.0,-1.0,2024.0,True,,False,False,,True,,False,False,,,,,False,False,False,False,,True,False,,,,,,5026438,50.0,,SG
